title,city,country,type,priceEur,utilitiesMinEur,utilitiesMaxEur,district,address,bedrooms,livingRoom,sizeSqm,amenities,Appartment_folder,autumn_price,spring_price,View_type,Long_description
AK1 Smart Home Studio with Balcony,Riga,Latvia,Studio with Balcony,510,100,100,Centra rajons,Alfrēda Kalniņa iela 4,1,1,17,Private kitchen;Private bathroom;Refrigerator;Washing machine;Work desk;Private toilet;No Parking;Laminate flooring;Gas heating;Private kitchenware;WiFi,AK1,610,610,Balcony street view,"One of eleven bright smart studios located in a shared apartment, each offering a private bathroom and fully equipped kitchenette. This 17 sqm studio features a balcony with street view and is designed for one person. The apartment is freshly renovated and located in the very center of Riga, within walking distance of Old Town, Vermanes Park, and shopping centers Stockmann and Origo. The studio includes WiFi, work desk, washing machine, refrigerator, kitchenware, and gas heating. The building is on the fourth floor without an elevator. Non-smoking. Ideal for students or professionals looking for a comfortable and central stay."
AK2 Smart Home Deluxe Queen studio,Riga,Latvia,Deluxe Queen studio,480,100,100,Centra rajons,"Alfrēda Kalniņa iela 4, Rīga, LV-1051",1,1,14,Private kitchen;Private bathroom;Refrigerator;Washing machine;Work desk;Private toilet;No Parking;Laminate flooring;Gas heating;Private kitchenware;WiFi,AK2,580,590,Street view,"This deluxe queen studio is one of eleven private studios within a shared apartment in central Riga. With a size of 14 sqm, it offers a cozy and efficient layout suitable for one person. The studio has a street view and includes a private bathroom, kitchenette, WiFi, work desk, refrigerator, washing machine, and gas heating. The property is freshly renovated and located just a few minutes' walk from Old Town, Vermanes Park, and major shopping centers. Located on the fourth floor with no elevator. Non-smoking. A practical option for long-term stays in the city center."
AK3 Smart Home Deluxe Queen studio,Riga,Latvia,Deluxe Queen studio,580,100,100,Centra rajons,"Alfrēda Kalniņa iela 4, Rīga, LV-1052",1,1,15,Private kitchen;Private bathroom;Refrigerator;Washing machine;Work desk;Private toilet;No Parking;Laminate flooring;Gas heating;Private kitchenware;WiFi,AK3,680,530,Street view,"One of eleven modern studios in a centrally located shared apartment, this 15 sqm deluxe queen studio offers a comfortable private living space for one person. The studio features a street view and comes fully equipped with a private bathroom, kitchenette, WiFi, work desk, refrigerator, washing machine, and gas heating. The apartment is freshly renovated and situated within walking distance of Old Town, Vermanes Park, Stockmann, and Origo. Fourth floor, no elevator. Non-smoking. Suitable for students or professionals seeking a central and well-equipped studio."
AK4 Smart Home Deluxe Queen studio,Riga,Latvia,Deluxe Queen studio,580,100,100,Centra rajons,"Alfrēda Kalniņa iela 4, Rīga, LV-1053",1,1,15,Private kitchen;Private bathroom;Refrigerator;Washing machine;Work desk;Private toilet;No Parking;Laminate flooring;Gas heating;Private kitchenware;WiFi,AK4,680,400,Street view,"This deluxe queen studio is part of a set of eleven private studios in a shared apartment in the heart of Riga. With 15 sqm of space, it is designed for single occupancy and offers a street view. The studio includes a private bathroom, fully equipped kitchenette, WiFi, work desk, refrigerator, washing machine, and gas heating. The apartment is freshly renovated and located a short walk from Old Town, Vermanes Park, and shopping centers. Situated on the fourth floor without an elevator. Non-smoking. Well-suited for long-term stays."
AK5 Smart Home Deluxe Queen studio,Riga,Latvia,Deluxe Queen studio,570,100,100,Centra rajons,"Alfrēda Kalniņa iela 4, Rīga, LV-1054",1,1,18,Private kitchen;Private bathroom;Refrigerator;Washing machine;Work desk;Private toilet;No Parking;Laminate flooring;Gas heating;Private kitchenware;WiFi,AK5,670,670,Street view,"One of eleven bright and freshly renovated studios located in central Riga, this deluxe queen studio offers 18 sqm of private living space. The studio has a street view and is suitable for one person only. It features a private bathroom, kitchenette, WiFi, work desk, refrigerator, washing machine, and gas heating. The location provides easy access to Old Town, Vermanes Park, and nearby shopping centers. Fourth floor, no elevator. Non-smoking. A comfortable option for students or professionals."
AK6 Smart Home Deluxe Queen studio,Riga,Latvia,Deluxe Queen studio,570,100,100,Centra rajons,"Alfrēda Kalniņa iela 4, Rīga, LV-1055",1,1,18,Private kitchen;Private bathroom;Refrigerator;Washing machine;Work desk;Private toilet;No Parking;Laminate flooring;Gas heating;Private kitchenware;WiFi,AK6,670,580,Inner yard silent,"This 18 sqm deluxe queen studio is one of eleven private studios in a shared apartment, offering a quiet inner yard view. Designed for one person, the studio includes a private bathroom, kitchenette, WiFi, work desk, refrigerator, washing machine, and gas heating. The apartment is freshly renovated and centrally located, close to Old Town, Vermanes Park, and main shopping areas. Located on the fourth floor with no elevator. Non-smoking. Ideal for those who value a quiet environment in the city center."
AK7 Smart Home Deluxe Queen studio,Riga,Latvia,Deluxe Queen studio,600,100,100,Centra rajons,"Alfrēda Kalniņa iela 4, Rīga, LV-1056",1,1,17,Private kitchen;Private bathroom;Refrigerator;Washing machine;Work desk;Private toilet;No Parking;Laminate flooring;Gas heating;Private kitchenware;WiFi,AK7,700,560,Inner yard silent,"One of eleven smart studios in a centrally located shared apartment, this 17 sqm deluxe queen studio offers a quiet inner yard view. The studio is intended for single occupancy and includes a private bathroom, kitchenette, WiFi, work desk, refrigerator, washing machine, and gas heating. The apartment is freshly renovated and within walking distance of Old Town, Vermanes Park, Stockmann, and Origo. Fourth floor, no elevator. Non-smoking. Suitable for focused work or study."
AK8 Smart Home Deluxe Queen studio,Riga,Latvia,Deluxe Queen studio,560,100,100,Centra rajons,"Alfrēda Kalniņa iela 4, Rīga, LV-1057",1,1,15,Private kitchen;Private bathroom;Refrigerator;Washing machine;Work desk;Private toilet;No Parking;Laminate flooring;Gas heating;Private kitchenware;WiFi,AK8,660,520,Inner yard silent,"This 15 sqm deluxe queen studio is part of a set of eleven private studios in a shared apartment, offering a calm inner yard view. Designed for one person, the studio features a private bathroom, kitchenette, WiFi, work desk, refrigerator, washing machine, and gas heating. The property is freshly renovated and located in the center of Riga, close to Old Town, Vermanes Park, and shopping centers. Fourth floor, no elevator. Non-smoking."
AK9 Smart Home Queen studio,Riga,Latvia,Queen studio,470,100,100,Centra rajons,"Alfrēda Kalniņa iela 4, Rīga, LV-1058",1,1,11,Private kitchen;Private bathroom;Refrigerator;Washing machine;Work desk;Private toilet;No Parking;Laminate flooring;Gas heating;Private kitchenware;WiFi,AK9,570,480,Inner yard silent,"One of eleven compact studios in a shared apartment in central Riga, this queen studio offers 11 sqm of private space with a quiet inner yard view. The studio includes a private bathroom, kitchenette, WiFi, work desk, refrigerator, washing machine, and gas heating. Freshly renovated and located within walking distance of Old Town, Vermanes Park, and nearby shopping areas. Fourth floor, no elevator. Non-smoking. Best suited for short or long-term single occupancy."
AK10 Smart Home Queen studio,Riga,Latvia,Queen studio,500,100,100,Centra rajons,"Alfrēda Kalniņa iela 4, Rīga, LV-1059",1,1,12.5,Private kitchen;Private bathroom;Refrigerator;Washing machine;Work desk;Private toilet;No Parking;Laminate flooring;Gas heating;Private kitchenware;WiFi,AK10,600,500,Inner yard silent,"This queen studio is one of eleven private studios located in a shared apartment in central Riga. With a size of 12.5 sqm, it offers a functional layout for one person and a quiet inner yard view. The studio is equipped with a private bathroom, kitchenette, WiFi, work desk, refrigerator, washing machine, and gas heating. The apartment is freshly renovated and close to Old Town, Vermanes Park, and shopping centers. Fourth floor, no elevator. Non-smoking."
AK11 Smart Home Queen studio,Riga,Latvia,Queen studio,540,100,100,Centra rajons,"Alfrēda Kalniņa iela 4, Rīga, LV-1060",1,1,13,Private kitchen;Private bathroom;Refrigerator;Washing machine;Work desk;Private toilet;No Parking;Laminate flooring;Gas heating;Private kitchenware;WiFi,AK11,640,500,Inner yard silent,"One of eleven bright studios in a shared apartment, this 13 sqm queen studio offers a quiet inner yard view and is suitable for one person only. The studio includes a private bathroom, kitchenette, WiFi, work desk, refrigerator, washing machine, and gas heating. Freshly renovated and located in the very center of Riga, a short walk from Old Town, Vermanes Park, and major shopping areas. Fourth floor, no elevator. Non-smoking."